,sentimen,before,after
0,negatif,,
1,netral,,
2,netral,,
3,positif,,
4,negatif,,
5,netral,,
6,positif,,
7,positif,,
8,netral,,
9,negatif,,
10,positif,,
11,positif,,
12,negatif,,
13,positif,,
14,netral,,
15,netral,,
16,positif,,
17,positif,,
18,netral,,
19,positif,,
20,netral,,
21,negatif,,
22,negatif,,
23,positif,,
24,positif,,
25,negatif,,
26,positif,,
27,negatif,,
28,positif,,
29,positif,,
30,netral,,
31,negatif,,
32,negatif,,
33,positif,,
34,netral,,
35,negatif,,
36,positif,,
37,positif,,
38,positif,,
39,positif,,
40,netral,,
41,netral,,
42,netral,,
43,positif,,
44,netral,,
45,negatif,,
46,negatif,,
47,netral,,
48,netral,,
49,positif,,
50,negatif,,
51,netral,,
52,netral,,
53,netral,,
54,positif,,
55,positif,,
56,negatif,,
57,positif,,
58,negatif,,
59,positif,,
60,positif,,
61,negatif,,
62,negatif,,
63,netral,,
64,positif,,
65,negatif,,
66,negatif,,
67,positif,,
68,netral,,
69,positif,,
70,netral,,
71,positif,,
72,positif,,
73,negatif,,
74,negatif,,
75,netral,,
76,netral,,
77,netral,,
78,netral,,
79,netral,,
80,negatif,,
81,positif,,
82,netral,,
83,negatif,,
84,positif,,
85,netral,,
86,positif,,
87,negatif,,
88,positif,,
89,netral,,
90,netral,,
91,negatif,,
92,positif,,
93,positif,,
94,positif,,
95,negatif,,
96,netral,,
97,negatif,,
98,negatif,,
99,netral,,
100,negatif,,
101,negatif,,
102,netral,,
103,netral,,
104,netral,,
105,netral,,
106,positif,,
107,netral,,
108,negatif,,
109,netral,,
110,netral,,
111,negatif,,
112,netral,,
113,netral,,
114,positif,,
115,positif,,
116,positif,,
117,netral,,
118,netral,,
119,netral,,
120,negatif,,
121,positif,,
122,negatif,,
123,negatif,,
124,positif,,
125,netral,,
126,negatif,,
127,netral,,
128,positif,,
129,negatif,,
130,netral,,
131,netral,,
132,positif,,
133,negatif,,
134,negatif,,
135,positif,,
136,negatif,,
137,netral,,
138,netral,,
139,negatif,,
140,positif,,
141,positif,,
142,positif,,
143,positif,,
144,negatif,,
145,netral,,
146,netral,,
147,negatif,,
148,positif,,
149,netral,,
150,netral,,
151,netral,,
152,netral,,
153,netral,,
154,netral,,
155,netral,,
156,negatif,,
157,netral,,
158,negatif,,
159,netral,,
160,netral,,
161,netral,,
162,netral,,
163,positif,,
164,negatif,,
165,positif,,
166,positif,,
167,negatif,,
168,positif,,
169,negatif,,
170,netral,,
171,positif,,
172,positif,,
173,negatif,,
174,netral,,
175,negatif,,
176,negatif,,
177,netral,,
178,netral,,
179,negatif,,
180,positif,,
181,negatif,,
182,negatif,,
183,netral,,
184,negatif,,
185,netral,,
186,negatif,,
187,negatif,,
188,netral,,
189,negatif,,
190,negatif,,
191,negatif,,
192,netral,,
193,negatif,,
194,netral,,
195,netral,,
196,netral,,
197,negatif,,
198,netral,,
199,netral,,
200,netral,,
201,netral,,
202,negatif,,
203,negatif,,
204,netral,,
205,negatif,,
206,negatif,,
207,positif,,
208,netral,,
209,negatif,,
210,netral,,
211,positif,,
212,netral,,
213,netral,,
214,netral,,
215,negatif,,
216,positif,,
217,netral,,
218,negatif,,
219,netral,,
220,negatif,,
221,netral,,
222,netral,,
223,netral,,
224,netral,,
225,netral,,
226,netral,,
227,netral,,
228,netral,,
229,positif,,
230,netral,,
231,negatif,,
232,negatif,,
233,negatif,,
234,netral,,
235,positif,,
236,netral,,
237,positif,,
238,negatif,,
239,negatif,,
240,netral,,
241,netral,,
242,negatif,,
243,netral,,
244,netral,,
245,negatif,,
246,netral,,
247,netral,,
248,negatif,,
249,positif,,
250,positif,,
251,netral,,
252,positif,,
253,negatif,,
254,positif,,
255,positif,,
256,netral,,
257,negatif,,
258,positif,,
259,positif,,
260,positif,,
261,positif,,
262,positif,,
263,negatif,,
264,positif,,
265,netral,,
266,positif,,
267,positif,,
268,positif,,
269,netral,,
270,netral,,
271,netral,,
272,positif,,
273,netral,,
274,positif,,
275,positif,,
276,netral,,
277,positif,,
278,netral,,
279,netral,,
280,netral,,
281,netral,,
282,positif,,
283,negatif,,
284,negatif,,
285,netral,,
286,positif,,
287,netral,,
288,netral,,
289,netral,,
290,positif,,
291,negatif,,
292,netral,,
293,netral,,
294,netral,,
295,negatif,,
296,positif,,
297,positif,,
298,negatif,,
299,positif,,
300,netral,,
301,positif,,
302,netral,,
303,positif,,
304,positif,,
305,netral,,
306,positif,,
307,positif,,
308,negatif,,
309,negatif,,
310,negatif,,
311,positif,,
312,netral,,
313,positif,,
314,netral,,
315,positif,,
316,positif,,
317,netral,,
318,negatif,,
319,netral,,
320,netral,,
321,netral,,
322,positif,,
323,negatif,,
324,positif,,
325,netral,,
326,positif,,
327,netral,,
328,netral,,
329,negatif,,
330,netral,,
331,netral,,
332,negatif,,
333,positif,,
334,negatif,,
335,negatif,,
336,positif,,
337,negatif,,
338,positif,,
339,positif,,
340,negatif,,
341,negatif,,
342,negatif,,
343,positif,,
344,netral,,
345,positif,,
346,positif,,
347,positif,,
348,positif,,
349,negatif,,
350,positif,,
351,netral,,
352,positif,,
353,negatif,,
354,positif,,
355,netral,,
356,netral,,
357,netral,,
358,positif,,
359,netral,,
360,netral,,
361,positif,,
362,negatif,,
363,negatif,,
364,netral,,
365,netral,,
366,negatif,,
367,positif,,
368,positif,,
369,netral,,
370,positif,,
371,positif,,
372,netral,,
373,negatif,,
374,negatif,,
375,netral,,
376,positif,,
377,positif,,
378,netral,,
379,netral,,
380,positif,,
381,netral,,
382,netral,,
383,netral,,
384,positif,,
385,netral,,
386,negatif,,
387,positif,,
388,positif,,
389,netral,,
390,negatif,,
391,negatif,,
392,positif,,
393,negatif,,
394,positif,,
395,positif,,
396,negatif,,
397,netral,,
398,netral,,
399,positif,,
400,netral,,
401,negatif,,
402,netral,,
403,negatif,,
404,netral,,
405,negatif,,
406,negatif,,
407,netral,,
408,positif,,
409,positif,,
410,positif,,
411,negatif,,
412,negatif,,
413,positif,,
414,positif,,
415,netral,,
416,netral,,
417,netral,,
418,positif,,
419,negatif,,
420,negatif,,
421,negatif,,
422,positif,,
423,negatif,,
424,netral,,
425,negatif,,
426,positif,,
427,netral,,
428,positif,,
429,negatif,,
430,positif,,
431,negatif,,
432,positif,,
433,positif,,
434,positif,,
435,netral,,
436,positif,,
437,negatif,,
438,positif,,
439,negatif,,
440,positif,,
441,negatif,,
442,positif,,
443,negatif,,
444,netral,,
445,netral,,
446,positif,,
447,netral,,
448,netral,,
449,netral,,
450,netral,,
451,positif,,
452,netral,,
453,positif,,
454,positif,,
455,positif,,
456,negatif,,
457,positif,,
458,netral,,
459,netral,,
460,positif,,
461,netral,,
462,netral,,
463,negatif,,
464,negatif,,
465,negatif,,
466,positif,,
467,positif,,
468,negatif,,
469,negatif,,
470,positif,,
471,negatif,,
472,positif,,
473,positif,,
474,netral,,
475,negatif,,
476,netral,,
477,positif,,
478,positif,,
479,netral,,
480,netral,,
481,netral,,
482,positif,,
483,netral,,
484,netral,,
485,positif,,
486,negatif,,
487,negatif,,
488,positif,,
489,positif,,
490,negatif,,
491,netral,,
492,negatif,,
493,negatif,,
494,negatif,,
495,positif,,
496,negatif,,
497,negatif,,
498,positif,,
499,netral,,
500,netral,,
501,positif,,
502,negatif,,
503,positif,,
504,positif,,
505,netral,,
506,netral,,
507,negatif,,
508,negatif,,
509,netral,,
510,negatif,,
511,netral,,
512,negatif,,
513,positif,,
514,negatif,,
515,netral,,
516,negatif,,
517,negatif,,
518,positif,,
519,positif,,
520,netral,,
521,negatif,,
522,negatif,,
523,negatif,,
524,netral,,
525,negatif,,
526,negatif,,
527,netral,,
528,negatif,,
529,positif,,
530,negatif,,
531,negatif,,
532,positif,,
533,negatif,,
534,positif,,
535,negatif,,
536,netral,,
537,negatif,,
538,negatif,,
539,netral,,
540,positif,,
541,negatif,,
542,positif,,
543,positif,,
544,netral,,
545,negatif,,
546,netral,,
547,netral,,
548,positif,,
549,negatif,,
550,negatif,,
551,negatif,,
552,positif,,
553,positif,,
554,positif,,
555,positif,,
556,positif,,
557,netral,,
558,negatif,,
559,netral,,
560,positif,,
561,negatif,,
562,negatif,,
563,positif,,
564,positif,,
565,netral,,
566,negatif,,
567,negatif,,
568,negatif,,
569,negatif,,
570,netral,,
571,netral,,
572,positif,,
573,positif,,
574,positif,,
575,negatif,,
576,positif,,
577,negatif,,
578,positif,,
579,positif,,
580,positif,,
581,negatif,,
582,positif,,
583,netral,,
584,netral,,
585,netral,,
586,netral,,
587,negatif,,
588,negatif,,
589,positif,,
590,positif,,
591,negatif,,
592,negatif,,
593,netral,,
594,positif,,
595,netral,,
596,negatif,,
597,negatif,,
598,positif,,
599,positif,,
600,positif,,
601,positif,,
602,positif,,
603,positif,,
604,positif,,
605,negatif,,
606,negatif,,
607,negatif,,
608,netral,,
609,positif,,
610,positif,,
611,negatif,,
612,negatif,,
613,positif,,
614,netral,,
615,netral,,
616,netral,,
617,positif,,
618,positif,,
619,negatif,,
620,positif,,
621,positif,,
622,netral,,
623,netral,,
624,positif,,
625,netral,,
626,positif,,
627,netral,,
628,positif,,
629,negatif,,
630,positif,,
631,negatif,,
632,positif,,
633,netral,,
634,negatif,,
635,positif,,
636,positif,,
