english,bahasa
aa,a a
acara,acara
ad,iklan
ae,ae
aga,lagi
agama,agama
agar,agar-agar
agen,agen
agenda,jadwal acara
ah,ah
air,udara
aku,aku
al,al
ala,sayangnya
alesan,alesan
alias,alias
ama,ama
amin,amin
amnesty,amnesti
an,sebuah
anda,anda
anti,anti
apa,apa
aqua,air
area,daerah
asset,aset
at,pada
babu,babu
badan,badan
bahan,bahan
bakal,bakal
baku,baku
balas,bola
bali,bali
bang,bang
bank,bank
baru,baru
bego,ayolah
behave,berperilaku baik
ben,ben
ber,ber
berat,berat
best,terbaik
big,besar
bilateral,bilateral
bin,tempat sampah
bing,bing
bismillah,bismillah
bit,sedikit
booming,booming
boring,membosankan
boss,bos
breaking,pemecahan
brut,kasar
brutal,brutal
bu,bu
bung,sumbat
campaign,kampanye
cash,uang tunai
chaos,kekacauan
chemistry,kimia
china,cina
class,kelas
cling,melekat
coin,koin
coming,yang akan datang
concern,kekhawatiran
consol,menghibur
counter,menangkal
cum,air mani
dah,dah
dan,dan
dari,dari
data,data
day,hari
de,de
dear,sayang
demi,demi
den,sarang
denda,baiklah
developer,pengembang
di,di
diamond,berlian
die,mati
digit,angka
digital,digital
distributor,distributor
do,mengerjakan
domba,domba
dong,dong
drama,drama
driver,pengemudi
duit,dua
effect,memengaruhi
ego,ego
eh,ya
elite,elite
era,zaman
excellent,bagus sekali
exit,keluar
faham,faham
fakir,ahli sihir
fatal,fatal
film,film
final,terakhir
fire,api
fix,memperbaiki
forum,forum
free,bebas
from,dari
frontal,frontal
full,penuh
fundamental,mendasar
ga,ga
gadget,gawai
game,permainan
gara,gara
gas,gas
gen,gen
getter,pengambil
global,global
go,pergi
goa,goa
goal,sasaran
gratis,gratis
great,besar
gue,aku
guna,guna
guru,guru
hacker,peretas
hak,benar
happy,senang
hardware,perangkat keras
he,dia
hoax,berita palsu
hobby,hobi
holding,memegang
homo,homo
honor,menghormati
honorer,kehormatan
id,pengenal
ide,ide
ideal,ideal
idiot,bodoh
idola,berhala
ikat,tenun ikat
impact,dampak
import,impor
in,di dalam
infra,infra
infrastructure,infrastruktur
is,adalah
iso,iso
it,dia
jam,selai
jaman,jaman
jawab,jawab
kaki,kaki
kali,kali
kalian,kalian
kalo,kalo
kan,kan
kapok,kapok
kayak,kayak
kick,menendang
kilo,kilo
kip,tidur
kite,layang-layang
ko,ko
kran,kran
kuku,kuku
lain,lain
lama,lama
lap,pangkuan
lari,lari
legend,legenda
let,membiarkan
link,tautan
liter,liter
lo,lihatlah
luna,luna
ma,bu
macro,makro
main,utama
mal,mal
mana,mana
mang,mang
market,pasar
mas,mas
masa,masa
masjid,masjid
mat,tikar
mau,mau
me,saya
media,media
men,laki-laki
mending,perbaikan
meng,meng
mental,mental
mention,menyebutkan
mercy,belas kasihan
minim,minimal
minimal,minimal
minus,dikurangi
mitra,mitra
mo,bulan
mobile,seluler
model,model
monetize,menghasilkan uang
motor,motor
mu,mu
multilateral,multilateral
must,harus
naik,naik
nail,paku
nasi,nasi
news,berita
nice,bagus
no,tidak
non,non
normal,normal
nothing,tidak ada apa-apa
of,dari
om,om
on,pada
ora,baiklah
orang,orang
original,asli
out,keluar
output,keluaran
pa,pa
paling,pagar
pam,pam
panama,panama
pantas,pantas
para,para
paradise,surga
parah,parah
pari,pari
people,rakyat
per,per
persis,bertahan
persona,kepribadian
pili,pili
pisang,pisang
plan,rencana
plant,tanaman
platform,platform
please,tolong
podium,mimbar
polos,polos
potong,potong
power,kekuatan
premium,premium
prepare,mempersiapkan
president,presiden
pro,pro
problem,masalah
program,program
programmer,programmer
pun,permainan kata-kata
quote,mengutip
raga,raga
raja,raja
rakit,rakit
rame,ram
ransel,ransel
ranting,mengomel
rasa,rasa
ratio,perbandingan
raya,raya
real,nyata
repost,posting ulang
respect,menghormati
rest,istirahat
round,bulat
rupiah,rupiah
sah,sah
said,dikatakan
sale,penjualan
sample,sampel
sang,bernyanyi
sapa,sapa
save,menyimpan
sawah,sawah
sawer,penggergaji
saya,saya
se,se
second,kedua
semester,semester
serta,serta
shame,malu
shi,shi
si,ya
simple,sederhana
sir,pak
sis,kakak
sisi,sisi
skill,keahlian
smalm,kecil
smash,menghancurkan
sok,oke
solo,solo
sore,sakit
sori,maaf
sorry,maaf
spirit,roh
sponsor,sponsor
sport,olahraga
sports,olahraga
spot,titik
spy,mengintai
starcraft,pesawat luar angkasa
state,negara
statement,penyataan
status,status
stop,berhenti
strategi,strategi
sumatra,sumatra
surat,surat
surprise,kejutan
susu,susu
target,target
tau,tau
tax,pajak
team,tim
teman,teman
tender,lembut
test,tes
th,th
the,itu
those,itu
tipe,tipe
to,ke
toko,toko
tol,tol
tong,tong
top,atas
total,total
transfer,transfer
transport,mengangkut
trend,kecenderungan
trump,truf
tu,kamu
tua,tua
tuan,tuan
tweet,menciak
twit,tweet
uang,uang
unicorn,unicorn
unlimited,tak terbatas
ur,kamu
urus,urus
user,pengguna
via,melalui
vice,keburukan
video,video
vidya,vidya
vote,pilih
wa,wa
walk,berjalan
walkout,keluar
wan,lemah
want,ingin
wick,sumbu
winter,musim dingin
wo,wo
wong,tidak
world,dunia
woy,wah
ya,ya
yah,ya
yakin,yakin
yang,yang
ye,kamu
yes,ya
you,anda
zaman,zaman
zero,nol
